"yearold","stnum","adopt","fiscal","eelct1","elect2","income","neighbor","religion","gov6099","cit6099","wideodif","year","ideodistgov6099","malideodistgov6099","ideology_relative_berry"
64,6,0,-0.282999992370605,0,1,73.3000030517578,0,8.89999961853027,17.7928600311279,54.8801612854004,20.6071395874023,1,0,32.9771347045898,32.9771332244078
65,6,0,-0.293999999761581,0,1,74.3499984741211,0,8.89999961853027,22.4303607940674,39.7232704162598,15.9696397781372,2,26.8196392059326,26.8196392059326,26.8196392059326
66,6,0,-0.257999986410141,1,0,76.0999984741211,0,8.89999961853027,26.6866092681885,42.8803100585938,11.7133903503418,3,22.5633907318115,22.5633907318115,22.5633907318115
67,6,0,-0.0120000001043081,0,0,79.3399963378906,0,8.89999961853027,18.6666698455811,45.7540512084961,19.7333297729492,4,30.5833301544189,30.5833301544189,30.5833301544189
68,6,0,-0.0480000004172325,0,1,81.7799987792969,0,8.89999961853027,42.6758193969727,50.8004112243652,4.27581977844238,5,7.2259521484375,7.2259521484375,7.22595024108887
69,6,0,-0.0570000000298023,0,1,81.9599990844727,0,8.89999961853027,21.038459777832,37.5887908935547,17.3615398406982,6,28.8633117675781,28.8633117675781,28.8633098602295
70,6,0,-0.00899999961256981,1,0,85.1800003051758,0,8.89999961853027,12.6589698791504,38.6132507324219,25.7410297393799,7,37.2428016662598,37.2428016662598,37.2427997589111
71,6,0,-0.0350000001490116,0,0,89.1699981689453,0,8.89999961853027,13.9269304275513,35.6249389648438,24.4730701446533,8,35.9748420715332,35.9748420715332,35.9748392105103
72,6,0,-0.0769999995827675,0,1,92.8199996948242,0,8.89999961853027,6.896155834198,32.2505416870117,31.5038433074951,9,38.1261596679688,38.1261596679688,39.7526440620422
73,6,0,-0.0390000008046627,0,1,95.1100006103516,0,8.89999961853027,20.5923099517822,52.341480255127,17.807689666748,10,34.1464996337891,34.1464996337891,34.1465009053548
74,6,0,0.0450000017881393,1,0,101.099998474121,0,8.89999961853027,19.3397407531738,52.6448097229004,19.0602607727051,11,42.3821601867676,42.3821601867676,37.9720971243722
75,6,0,0.0280000008642673,0,0,100.699996948242,0,8.89999961853027,68.7882232666016,49.1015815734863,30.388219833374,12,4.72183227539062,4.72183227539062,14.3075578862971
76,6,0,-0.0520000010728836,0,1,98.4700012207031,0,8.89999961853027,63.5228614807129,45.4401397705078,25.122859954834,13,3.02322006225586,3.02322006225586,14.5104697545369
77,6,0,-0.063000001013279,0,1,104.199996948242,0,8.89999961853027,56.001049041748,44.6040382385254,17.6010494232178,14,10.5450325012207,10.5450325012207,15.7641051610311
78,6,0,-0.0700000002980232,1,0,107.300003051758,0,8.89999961853027,47.9281806945801,38.9396591186523,9.52818012237549,15,18.6179008483887,18.6179008483887,19.1018342971802
79,6,0,-0.017000000923872,0,0,112,0,8.89999961853027,46.8807716369629,44.6809005737305,8.48077011108398,16,8.81335067749023,8.81335067749023,18.5847071134127
80,6,0,0.0140000004321337,0,1,113.599998474121,0,8.89999961853027,40.7057685852051,38.3890991210938,2.30576992034912,17,14.988353729248,14.988353729248,22.8597092261681
